product,date,month,year,value,variable_type,source_file,source_table,source_page
medio_pollo,2014-10-01,10,2014,121.499,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2014-11-01,11,2014,126.515,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2014-12-01,12,2014,119.226,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2015-01-01,1,2015,115.793,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2015-02-01,2,2015,118.873,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2015-03-01,3,2015,113.714,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2015-04-01,4,2015,119.044,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2015-05-01,5,2015,120.467,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2015-06-01,6,2015,113.405,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2015-07-01,7,2015,113.3,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2015-08-01,8,2015,118.715,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2015-09-01,9,2015,119.359,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2015-10-01,10,2015,119.806,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2015-11-01,11,2015,125.71,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2015-12-01,12,2015,126.202,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2016-01-01,1,2016,124.207,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2016-02-01,2,2016,120.032,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2016-03-01,3,2016,117.025,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2016-04-01,4,2016,121.57,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2016-05-01,5,2016,119.59,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2016-06-01,6,2016,120.656,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2016-07-01,7,2016,119.708,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2016-08-01,8,2016,118.099,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2016-09-01,9,2016,126.96,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2016-10-01,10,2016,130.587,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2016-11-01,11,2016,129.761,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
medio_pollo,2016-12-01,12,2016,130.728,production_tons,Avicultura-en-Cifras-2024_17-09-2024.pdf,Tabla 5.3.1,95
