parameter,delta,seed,z_value,gap_percent,service_level,avg_inventory,low_rotation_inventory,elapsed_seconds,n_evaluations,is_feasible,instance_name
prices,-0.1,30,481696519.56327707,12.67469328312171,56.48101833972543,17939.98800711172,571.3854187049747,55.57823181152344,6429,True,medium_seed42_prices_-10%
prices,0.1,1,621526675.8043852,-12.674693283122195,56.48101833972543,17939.98800711172,571.3854187049747,56.203781604766846,5646,True,medium_seed42_prices_+10%
prices,0.1,2,621526675.8043852,-12.674693283122195,56.48101833972543,17939.98800711172,571.3854187049747,76.05557370185852,5766,True,medium_seed42_prices_+10%
prices,0.1,3,621526675.8043852,-12.674693283122195,56.48101833972543,17939.98800711172,571.3854187049747,99.53199100494385,6354,True,medium_seed42_prices_+10%
prices,0.1,4,621526675.8043852,-12.674693283122195,56.48101833972543,17939.98800711172,571.3854187049747,99.11253094673157,6274,True,medium_seed42_prices_+10%
prices,0.1,5,621526675.8043852,-12.674693283122195,56.48101833972543,17939.98800711172,571.3854187049747,181.35098385810852,6272,True,medium_seed42_prices_+10%
prices,0.1,6,621526675.8043852,-12.674693283122195,56.48101833972543,17939.98800711172,571.3854187049747,174.67108368873596,5963,True,medium_seed42_prices_+10%
prices,0.1,7,621526675.8043852,-12.674693283122195,56.48101833972543,17939.98800711172,571.3854187049747,133.1736123561859,5768,True,medium_seed42_prices_+10%
prices,0.1,8,621526675.8043852,-12.674693283122195,56.48101833972543,17939.98800711172,571.3854187049747,113.86071157455444,5649,True,medium_seed42_prices_+10%
prices,0.1,9,621526675.8043852,-12.674693283122195,56.48101833972543,17939.98800711172,571.3854187049747,154.55559253692627,5848,True,medium_seed42_prices_+10%
prices,0.1,10,621526675.8043852,-12.674693283122195,56.48101833972543,17939.98800711172,571.3854187049747,129.0834605693817,5847,True,medium_seed42_prices_+10%
prices,0.1,11,621526675.8043852,-12.674693283122195,56.48101833972543,17939.98800711172,571.3854187049747,105.6931505203247,5844,True,medium_seed42_prices_+10%
prices,0.1,12,621526675.8043852,-12.674693283122195,56.48101833972543,17939.98800711172,571.3854187049747,114.94944477081299,5731,True,medium_seed42_prices_+10%
prices,0.1,13,621526675.8043852,-12.674693283122195,56.48101833972543,17939.98800711172,571.3854187049747,104.0884747505188,5883,True,medium_seed42_prices_+10%
prices,0.1,14,621526675.8043852,-12.674693283122195,56.48101833972543,17939.98800711172,571.3854187049747,64.45254349708557,6466,True,medium_seed42_prices_+10%
prices,0.1,15,621526675.8043852,-12.674693283122195,56.48101833972543,17939.98800711172,571.3854187049747,76.69493865966797,6353,True,medium_seed42_prices_+10%
prices,0.1,16,621526675.8043852,-12.674693283122195,56.48101833972543,17939.98800711172,571.3854187049747,100.17574286460876,5258,True,medium_seed42_prices_+10%
prices,0.1,17,621526675.8043852,-12.674693283122195,56.48101833972543,17939.98800711172,571.3854187049747,133.0027630329132,7091,True,medium_seed42_prices_+10%
prices,0.1,18,621526675.8043852,-12.674693283122195,56.48101833972543,17939.98800711172,571.3854187049747,113.52555274963379,5800,True,medium_seed42_prices_+10%
prices,0.1,19,621526675.8043852,-12.674693283122195,56.48101833972543,17939.98800711172,571.3854187049747,102.93333911895752,5693,True,medium_seed42_prices_+10%
prices,0.1,20,621526675.8043852,-12.674693283122195,56.48101833972543,17939.98800711172,571.3854187049747,144.86606669425964,6974,True,medium_seed42_prices_+10%
prices,0.1,21,621526675.8043852,-12.674693283122195,56.48101833972543,17939.98800711172,571.3854187049747,125.56577968597412,5808,True,medium_seed42_prices_+10%
prices,0.1,22,621526675.8043852,-12.674693283122195,56.48101833972543,17939.98800711172,571.3854187049747,124.04840755462646,6591,True,medium_seed42_prices_+10%
prices,0.1,23,621526675.8043852,-12.674693283122195,56.48101833972543,17939.98800711172,571.3854187049747,104.0581464767456,6431,True,medium_seed42_prices_+10%
prices,0.1,24,621526675.8043852,-12.674693283122195,56.48101833972543,17939.98800711172,571.3854187049747,72.02445197105408,4714,True,medium_seed42_prices_+10%
prices,0.1,25,621526675.8043852,-12.674693283122195,56.48101833972543,17939.98800711172,571.3854187049747,104.91844606399536,5768,True,medium_seed42_prices_+10%
prices,0.1,26,621526675.8043852,-12.674693283122195,56.48101833972543,17939.98800711172,571.3854187049747,84.53776574134827,5767,True,medium_seed42_prices_+10%
prices,0.1,27,621526675.8043852,-12.674693283122195,56.48101833972543,17939.98800711172,571.3854187049747,99.11254048347473,5850,True,medium_seed42_prices_+10%
prices,0.1,28,621526675.8043852,-12.674693283122195,56.48101833972543,17939.98800711172,571.3854187049747,164.62842392921448,6585,True,medium_seed42_prices_+10%
prices,0.1,29,621526675.8043852,-12.674693283122195,56.48101833972543,17939.98800711172,571.3854187049747,125.11424016952515,5733,True,medium_seed42_prices_+10%
prices,0.1,30,621526675.8043852,-12.674693283122195,56.48101833972543,17939.98800711172,571.3854187049747,213.7127058506012,7525,True,medium_seed42_prices_+10%
prices,0.2,1,691441753.9249368,-25.349386566243698,56.48101833972543,17939.98800711172,571.3854187049747,183.43200755119324,5646,True,medium_seed42_prices_+20%
prices,0.2,2,691441753.9249368,-25.349386566243698,56.48101833972543,17939.98800711172,571.3854187049747,150.77994537353516,5766,True,medium_seed42_prices_+20%
prices,0.2,3,691441753.9249368,-25.349386566243698,56.48101833972543,17939.98800711172,571.3854187049747,145.4427571296692,5921,True,medium_seed42_prices_+20%
prices,0.2,4,691441753.9249368,-25.349386566243698,56.48101833972543,17939.98800711172,571.3854187049747,103.39557933807373,5262,True,medium_seed42_prices_+20%
prices,0.2,5,691441753.9249368,-25.349386566243698,56.48101833972543,17939.98800711172,571.3854187049747,99.67107319831848,6272,True,medium_seed42_prices_+20%
prices,0.2,6,691441753.9249368,-25.349386566243698,56.48101833972543,17939.98800711172,571.3854187049747,92.58694171905518,5963,True,medium_seed42_prices_+20%
prices,0.2,7,691441753.9249368,-25.349386566243698,56.48101833972543,17939.98800711172,571.3854187049747,91.16393733024597,5768,True,medium_seed42_prices_+20%
prices,0.2,8,691441753.9249368,-25.349386566243698,56.48101833972543,17939.98800711172,571.3854187049747,80.50242567062378,5649,True,medium_seed42_prices_+20%
prices,0.2,9,691441753.9249368,-25.349386566243698,56.48101833972543,17939.98800711172,571.3854187049747,110.80318641662598,7093,True,medium_seed42_prices_+20%
prices,0.2,10,691441753.9249368,-25.349386566243698,56.48101833972543,17939.98800711172,571.3854187049747,52.64552092552185,5730,True,medium_seed42_prices_+20%
prices,0.2,11,691441753.9249368,-25.349386566243698,56.48101833972543,17939.98800711172,571.3854187049747,55.79137349128723,5844,True,medium_seed42_prices_+20%
prices,0.2,12,691441753.9249368,-25.349386566243698,56.48101833972543,17939.98800711172,571.3854187049747,83.06555271148682,5731,True,medium_seed42_prices_+20%
prices,0.2,13,691441753.9249368,-25.349386566243698,56.48101833972543,17939.98800711172,571.3854187049747,83.53836941719055,5883,True,medium_seed42_prices_+20%
prices,0.2,14,691441753.9249368,-25.349386566243698,56.48101833972543,17939.98800711172,571.3854187049747,97.61613655090332,6348,True,medium_seed42_prices_+20%
prices,0.2,15,691441753.9249368,-25.349386566243698,56.48101833972543,17939.98800711172,571.3854187049747,147.22793245315552,6353,True,medium_seed42_prices_+20%
prices,0.2,16,691441753.9249368,-25.349386566243698,56.48101833972543,17939.98800711172,571.3854187049747,175.3572654724121,5647,True,medium_seed42_prices_+20%
prices,0.2,17,691441753.9249368,-25.349386566243698,56.48101833972543,17939.98800711172,571.3854187049747,206.8347246646881,7091,True,medium_seed42_prices_+20%
