algorithm,size_profile,instance_seed,run_seed,z_stable,service_stable,low_rotation_stable,elapsed_stable,z_seasonal,service_seasonal,low_rotation_seasonal,elapsed_seasonal,delta_z_pct,delta_service_pp,delta_low_rotation_pct,delta_elapsed_pct
ga_sa,medium,42,5,551611597.6838298,56.48101833972543,571.3854187049747,609.0934834480286,629260930.8883402,64.65504296253151,0.0,517.912887096405,14.07681302034863,8.17402462280608,-100.0,-14.969885383678317
ga_sa,small,42,1,552277686.7837336,56.4843758197804,491.17381517409456,138.36932373046875,628998735.6385002,64.61105927248101,0.0,288.7651653289795,13.891752408387594,8.126683452700618,-100.0,108.69160702950937
ga_sa,small,42,2,552277686.7837336,56.4843758197804,491.17381517409456,164.06068015098572,628998735.6385002,64.61105927248101,0.0,263.4031388759613,13.891752408387594,8.126683452700618,-100.0,60.552265560249
ga_sa,small,42,3,552277686.7837336,56.4843758197804,491.17381517409456,190.6720051765442,628998735.6385002,64.61105927248101,0.0,286.6311709880829,13.891752408387594,8.126683452700618,-100.0,50.32682470753356
ga_sa,small,42,4,552277686.7837336,56.4843758197804,491.17381517409456,184.89765906333923,628998735.6385002,64.61105927248101,0.0,289.008734703064,13.891752408387594,8.126683452700618,-100.0,56.307406035930455
ga_sa,small,42,5,552277686.7837336,56.4843758197804,491.17381517409456,329.5237708091736,628998735.6385002,64.61105927248101,0.0,366.8076527118683,13.891752408387594,8.126683452700618,-100.0,11.314474161041847
sa,medium,42,1,537920676.7897112,55.884135558006,490.4914215085977,52.17445731163025,594191634.9100871,62.77657830562712,0.0,56.67153096199036,10.460828250030966,6.892442747621118,-100.0,8.619301248309617
sa,medium,42,2,523523524.1474557,55.25193539000927,373.1034121482811,52.89300179481506,603402768.9823375,63.26570702371584,0.0,70.23522138595581,15.25800487475,8.013771633706568,-100.0,32.78736128158404
sa,medium,42,3,534486512.4824994,55.72702714864332,571.3854187049747,48.355857372283936,613745193.7026081,63.809069234564674,0.0,56.39232802391052,14.828939434220773,8.082042085921351,-100.0,16.619435758847366
sa,medium,42,4,513405985.2049587,54.8155383008948,473.91817106966926,45.886534452438354,593429214.2142136,62.76022897886188,0.0,50.2339129447937,15.58673473144427,7.944690677967081,-100.0,9.474192253201053
sa,medium,42,5,422307610.15043366,50.85551527902192,429.5427019377677,47.88346934318543,504259752.63210654,58.23135046844124,0.0,64.41642761230469,19.405793433956838,7.37583518941932,-100.0,34.52748619910131
sa,small,42,1,514861522.9600281,54.84201446379766,397.9738151740946,21.637690544128414,617093617.8433031,63.963144804907,0.0,24.10001921653748,19.85623130187025,9.121130341109343,-100.0,11.379812773398038
sa,small,42,2,524189622.5877597,55.25661216976889,390.7738151740947,21.52828073501587,603731580.3764673,63.24110506324851,0.0,33.949888467788696,15.174271744647289,7.984492893479619,-100.0,57.69902337147161
sa,small,42,3,535152615.1906085,55.73127145886485,459.9738151740946,20.99852156639099,614037009.9883424,63.7812921141029,0.0,32.54509210586548,14.740541774169818,8.050020655238043,-100.0,54.98754044644388
sa,small,42,4,514097407.2886095,54.82167938883566,260.5138137232485,25.17213225364685,565215940.8714786,61.3117961475356,0.0,18.0703866481781,9.943355647808506,6.490116758699941,-100.0,-28.21272959282134
sa,small,42,5,422982141.8805967,50.86564253511825,455.9738151740946,25.050922632217407,503242343.4292421,58.13020606423858,0.0,25.82512187957764,18.974843995021892,7.2645635291203305,-100.0,3.0905019297155683
