algorithm,instance,seed,size_profile,demand_profile,instance_seed,run_seed,z_value,gap_percent,service_level,avg_inventory,low_rotation_inventory,elapsed_seconds,n_evaluations,is_feasible
de,small_stable_seed42,3,small,stable,42,3,552277686.7837336,,56.4843758197804,17821.311832720072,491.17381517409456,214.0602524280548,6235,True
de,small_stable_seed42,4,small,stable,42,4,552260009.2837336,,56.48360862406969,17821.243082720073,491.17381517409456,218.6779341697693,6268,True
de,small_stable_seed42,5,small,stable,42,5,552277686.7837336,,56.4843758197804,17821.311832720072,491.17381517409456,202.1818206310272,6223,True
ga,medium_seasonal_seed42,1,medium,seasonal,42,1,629260930.8883402,,64.65504296253151,19558.75971925111,0.0,568.8820140361786,8669,True
ga,medium_seasonal_seed42,2,medium,seasonal,42,2,629260930.8883402,,64.65504296253151,19558.75971925111,0.0,475.1696031093597,7227,True
ga,medium_seasonal_seed42,3,medium,seasonal,42,3,629260930.8883402,,64.65504296253151,19558.75971925111,0.0,624.008574962616,8111,True
ga,medium_seasonal_seed42,4,medium,seasonal,42,4,629260930.8883402,,64.65504296253151,19558.75971925111,0.0,628.4787425994873,8747,True
ga,medium_seasonal_seed42,5,medium,seasonal,42,5,629260930.8883402,,64.65504296253151,19558.75971925111,0.0,621.9411039352417,8271,True
ga,medium_stable_seed42,1,medium,stable,42,1,551611597.6838298,,56.48101833972543,17939.98800711172,571.3854187049747,297.72983741760254,7148,True
ga,medium_stable_seed42,2,medium,stable,42,2,551611597.6838298,,56.48101833972543,17939.98800711172,571.3854187049747,298.3967034816742,7149,True
ga,medium_stable_seed42,3,medium,stable,42,3,551611597.6838298,,56.48101833972543,17939.98800711172,571.3854187049747,337.1019415855408,7394,True
ga,medium_stable_seed42,4,medium,stable,42,4,551611597.6838298,,56.48101833972543,17939.98800711172,571.3854187049747,419.7211408615112,8347,True
ga,medium_stable_seed42,5,medium,stable,42,5,551611597.6838298,,56.48101833972543,17939.98800711172,571.3854187049747,530.7868649959564,8113,True
ga,small_seasonal_seed42,1,small,seasonal,42,1,628998735.6385002,,64.61105927248101,19525.967677061817,0.0,102.2871913909912,9709,True
ga,small_seasonal_seed42,2,small,seasonal,42,2,628998735.6385002,,64.61105927248101,19525.967677061817,0.0,95.7614438533783,9071,True
ga,small_seasonal_seed42,3,small,seasonal,42,3,628998735.6385002,,64.61105927248101,19525.967677061817,0.0,107.00446271896362,9713,True
ga,small_seasonal_seed42,4,small,seasonal,42,4,628998735.6385002,,64.61105927248101,19525.967677061817,0.0,90.82123374938963,8350,True
ga,small_seasonal_seed42,5,small,seasonal,42,5,628998735.6385002,,64.61105927248101,19525.967677061817,0.0,95.11187481880188,8594,True
