algorithm,tau,rho,n_cases
ga,21.118154323111526,0.9,270
ga,21.226316443128255,0.9,270
ga,21.334478563144984,0.9,270
ga,21.442640683161713,0.9074074074074074,270
ga,21.550802803178442,0.9074074074074074,270
ga,21.658964923195168,0.9074074074074074,270
ga,21.767127043211897,0.9074074074074074,270
ga,21.875289163228626,0.9074074074074074,270
ga,21.983451283245355,0.9111111111111111,270
ga,22.091613403262084,0.9111111111111111,270
ga,22.199775523278813,0.9148148148148149,270
ga,22.307937643295542,0.9148148148148149,270
ga,22.416099763312268,0.9148148148148149,270
ga,22.524261883328997,0.9185185185185185,270
sa,1.0,1.0,270
sa,1.1081621200167286,1.0,270
sa,1.2163242400334573,1.0,270
sa,1.324486360050186,1.0,270
sa,1.4326484800669146,1.0,270
sa,1.5408106000836432,1.0,270
sa,1.6489727201003719,1.0,270
sa,1.7571348401171005,1.0,270
sa,1.8652969601338292,1.0,270
sa,1.9734590801505578,1.0,270
sa,2.0816212001672865,1.0,270
sa,2.1897833201840147,1.0,270
sa,2.2979454402007438,1.0,270
sa,2.406107560217472,1.0,270
sa,2.514269680234201,1.0,270
sa,2.6224318002509293,1.0,270
sa,2.7305939202676583,1.0,270
sa,2.8387560402843866,1.0,270
sa,2.9469181603011156,1.0,270
sa,3.055080280317844,1.0,270
sa,3.1632424003345725,1.0,270
sa,3.271404520351301,1.0,270
sa,3.37956664036803,1.0,270
sa,3.4877287603847584,1.0,270
sa,3.595890880401487,1.0,270
sa,3.7040530004182157,1.0,270
sa,3.8122151204349444,1.0,270
sa,3.920377240451673,1.0,270
sa,4.028539360468402,1.0,270
sa,4.13670148048513,1.0,270
sa,4.2448636005018585,1.0,270
sa,4.353025720518588,1.0,270
sa,4.461187840535317,1.0,270
sa,4.569349960552045,1.0,270
sa,4.677512080568773,1.0,270
sa,4.785674200585502,1.0,270
sa,4.893836320602231,1.0,270
sa,5.0019984406189595,1.0,270
sa,5.110160560635688,1.0,270
sa,5.218322680652417,1.0,270
sa,5.326484800669145,1.0,270
sa,5.434646920685874,1.0,270
sa,5.542809040702602,1.0,270
sa,5.650971160719331,1.0,270
sa,5.75913328073606,1.0,270
sa,5.867295400752789,1.0,270
sa,5.975457520769517,1.0,270
sa,6.083619640786246,1.0,270
sa,6.191781760802974,1.0,270
sa,6.299943880819703,1.0,270
sa,6.4081060008364314,1.0,270
sa,6.5162681208531605,1.0,270
sa,6.624430240869889,1.0,270
sa,6.732592360886618,1.0,270
sa,6.840754480903346,1.0,270
sa,6.948916600920075,1.0,270
sa,7.057078720936803,1.0,270
sa,7.165240840953532,1.0,270
sa,7.273402960970261,1.0,270
sa,7.38156508098699,1.0,270
sa,7.489727201003718,1.0,270
sa,7.597889321020447,1.0,270
sa,7.706051441037175,1.0,270
sa,7.814213561053904,1.0,270
sa,7.9223756810706325,1.0,270
sa,8.03053780108736,1.0,270
sa,8.13869992110409,1.0,270
