algorithm,instance,seed,z_value,gap_percent,service_level,avg_inventory,low_rotation_inventory,elapsed_seconds,n_evaluations,is_feasible,size,complexity,case_id
de,large_seed42,26,1643085794.2397437,17.640154101907417,66.53651710624429,72545.38482796802,0.0,432.37238574028015,10740,True,large,19200,large_seed42_s26
de,large_seed42,27,1652503182.9992857,17.168106513329022,66.69432045578063,71732.2024265522,0.0,440.1608288288117,10751,True,large,19200,large_seed42_s27
de,large_seed42,28,1642924438.5104346,17.648242074578874,66.73614203504854,73330.6960426632,0.0,432.6863300800324,10866,True,large,19200,large_seed42_s28
de,large_seed42,29,1634222775.500197,18.084413835720483,65.63976840718408,68138.92815403276,0.0,426.88988280296326,10736,True,large,19200,large_seed42_s29
de,large_seed42,30,1648546299.399408,17.366445714279497,66.87646766272545,73818.67168420773,0.0,419.48960518836975,10485,True,large,19200,large_seed42_s30
de,large_seed123,1,1631721356.1745634,17.678470505201037,66.46690652099149,74672.01858889492,0.0,423.3569529056549,10631,True,large,19200,large_seed123_s1
de,large_seed123,2,1632051374.8376446,17.66182082356032,66.48374448858864,74607.51830770643,0.0,478.3260369300842,10657,True,large,19200,large_seed123_s2
de,large_seed123,3,1626549212.78494,17.939408901937117,65.36753985124558,67820.3007777176,0.0,602.7790384292603,10601,True,large,19200,large_seed123_s3
de,large_seed123,4,1630572993.7592409,17.736406224486668,65.71528804899462,69471.24226159262,0.0,430.03273367881775,10664,True,large,19200,large_seed123_s4
de,large_seed123,5,1636287899.006754,17.448085097161297,66.53382192625624,74058.14220278115,0.0,430.6798405647278,10774,True,large,19200,large_seed123_s5
de,large_seed123,6,1633837395.396525,17.571714787036484,66.523261523175,74415.9597191612,0.0,431.02488708496094,10760,True,large,19200,large_seed123_s6
de,large_seed123,7,1622929718.521222,18.122015020720458,65.21833339284808,67537.96393869133,0.0,419.9489269256592,10563,True,large,19200,large_seed123_s7
de,large_seed123,8,1635443547.0314193,17.49068326858222,66.49342807851673,73977.37928906141,0.0,430.13610768318176,10773,True,large,19200,large_seed123_s8
de,large_seed123,9,1599880614.0588107,19.28485910905149,65.3291573076122,73294.83398351418,0.0,424.4152283668518,10618,True,large,19200,large_seed123_s9
de,large_seed123,10,1634414533.7001047,17.542597739753298,66.32268837768194,72946.27564204918,0.0,427.1127851009369,10696,True,large,19200,large_seed123_s10
de,large_seed123,11,1632934741.0947075,17.61725435324335,66.13847733866787,72028.60147350484,0.0,422.38345551490784,10619,True,large,19200,large_seed123_s11
