algorithm,n_evaluations,mean_norm_z,std_norm_z,n_runs
ga,9233.352201257861,0.9876122860911729,0.02185631546844873,270
ga,9334.817610062893,0.9878448390252844,0.021626659176807315,270
ga,9436.283018867924,0.9880799019367047,0.02131999253068382,270
ga,9537.748427672956,0.9883055346609918,0.02095564674524837,270
ga,9639.213836477988,0.9885629482210736,0.020601078320487454,270
ga,9740.67924528302,0.9888754031609553,0.02024438414846174,270
ga,9842.14465408805,0.9892495840655051,0.019826732049951473,270
ga,9943.610062893082,0.9895177838404388,0.019503278535288368,270
ga,10045.075471698114,0.9896172951417933,0.01931405716637006,270
ga,10146.540880503144,0.9898596301494068,0.018848635215667906,270
ga,10248.006289308176,0.9901833818770085,0.01846759678987301,270
ga,10349.471698113208,0.9903662164355481,0.018301723732636496,270
ga,10450.937106918238,0.9905962222674362,0.018080320924915023,270
ga,10552.40251572327,0.9907535326643598,0.017871742326837345,270
ga,10653.867924528302,0.9909021973300178,0.017697575033602437,270
ga,10755.333333333334,0.9914097677364467,0.016653383474134066,270
ga,10856.798742138364,0.9917826142281974,0.016147987899306944,270
ga,10958.264150943396,0.9919002843781252,0.01604170767062385,270
ga,11059.729559748428,0.9920309267051121,0.015913601581504806,270
ga,11161.194968553458,0.9921650121371413,0.015686009914342953,270
ga,11262.66037735849,0.9923457369649752,0.015268542061423583,270
ga,11364.125786163522,0.9925191069353142,0.015102828732353874,270
ga,11465.591194968552,0.9926580734966847,0.01502220493998863,270
ga,11567.056603773584,0.9928140506549442,0.014731452047382847,270
ga,11668.522012578616,0.9929753988832452,0.014267893713125467,270
ga,11769.987421383648,0.993124489759427,0.013903320685345,270
ga,11871.452830188678,0.9933545964715685,0.013587974934685889,270
ga,11972.91823899371,0.993549293626866,0.013349700901255127,270
ga,12074.383647798742,0.993750765814904,0.012924171222660182,270
ga,12175.849056603773,0.9939085715087888,0.01270728435645812,270
ga,12277.314465408805,0.9940746441214291,0.012467100731585114,270
ga,12378.779874213837,0.9942705313543527,0.012184093805714936,270
ga,12480.245283018867,0.9943828740719703,0.012109515954491073,270
ga,12581.710691823899,0.9945654553927038,0.011864438815327966,270
ga,12683.17610062893,0.9949017639772408,0.011497785814406842,270
ga,12784.641509433963,0.9950826510291026,0.011108942486045008,270
ga,12886.106918238993,0.9951829821774191,0.010789981169385291,270
ga,12987.572327044025,0.9954677200658565,0.010127513470774039,270
ga,13089.037735849057,0.9956319330248647,0.0099178496003098,270
ga,13190.503144654087,0.995761431826002,0.00973459866996142,270
ga,13291.968553459119,0.9958993593553224,0.009567808649216953,270
ga,13393.433962264151,0.9963125059756754,0.00761059350330829,270
ga,13494.899371069183,0.9965464059336648,0.0072597283454354285,270
ga,13596.364779874213,0.9967288927380947,0.0069831185480158766,270
ga,13697.830188679245,0.9968549238512925,0.006806959277501155,270
ga,13799.295597484277,0.9971253046870038,0.006275059852151309,270
ga,13900.761006289307,0.9972384153482322,0.006078080270388616,270
ga,14002.22641509434,0.9974199568154025,0.005812563003943535,270
ga,14103.691823899371,0.9975035292449813,0.005649253903432195,270
ga,14205.157232704401,0.9975842566959567,0.005571708175567767,270
ga,14306.622641509433,0.9978548114224749,0.005093086721680283,270
ga,14408.088050314465,0.997970044243081,0.005000764000246519,270
ga,14509.553459119497,0.9980789608564424,0.004898685529597577,270
ga,14611.018867924528,0.9981583483885133,0.004845631551417345,270
ga,14712.48427672956,0.9982583789375343,0.004731180725585907,270
ga,14813.949685534591,0.9983863203579947,0.004641970194176304,270
ga,14915.415094339622,0.9985116133073706,0.004545591531514142,270
ga,15016.880503144654,0.9986025650579067,0.004468276147815691,270
ga,15118.345911949686,0.9987154837018224,0.004342595082338829,270
ga,15219.811320754716,0.9988361184670276,0.004009333146398781,270
ga,15321.276729559748,0.9989671299449145,0.003644540885167551,270
ga,15422.74213836478,0.9991054119488951,0.0030371707415518105,270
ga,15524.207547169812,0.9992041903020907,0.0029300859142036132,270
ga,15625.672955974842,0.9993499991782515,0.0026495587368451285,270
ga,15727.138364779874,0.9993954855023398,0.002483196902094675,270
ga,15828.603773584906,0.9995696833801956,0.0016643272716344829,270
ga,15930.069182389936,0.9997114120673738,0.0013455352692611654,270
ga,16031.534591194968,0.9998303005378255,0.0011756354774538056,270
ga,16133.0,1.0,0.0,270
sa,0.0,1.1233440500606893e-07,1.8424212301833075e-06,270
sa,5.566037735849057,0.01310992664342006,0.01608227023329438,270
sa,11.132075471698114,0.04079930274727093,0.028927050213495162,270
sa,16.69811320754717,0.0675207279447787,0.03854698811298067,270
sa,22.264150943396228,0.10071257894890887,0.04835315745783166,270
sa,27.830188679245285,0.12821581253757894,0.05319951216326884,270
sa,33.39622641509434,0.15129509804946675,0.05168172923091283,270
sa,38.9622641509434,0.17628540441125828,0.06018350931364362,270
sa,44.528301886792455,0.19904952638043868,0.06788646852264883,270
sa,50.09433962264151,0.22027092848117716,0.07527999985450551,270
sa,55.66037735849057,0.2405408453821629,0.08208238655374549,270
sa,61.22641509433963,0.2597477928349347,0.08663621770368256,270
sa,66.79245283018868,0.28037233637299935,0.08666233739006897,270
sa,72.35849056603774,0.3059478542880532,0.08754274236046823,270
sa,77.9245283018868,0.32997637790127465,0.08939790149790457,270
sa,83.49056603773586,0.34741222561894924,0.09623166241975913,270
sa,89.05660377358491,0.37169733169150104,0.10517592655496318,270
sa,94.62264150943396,0.3933593486312511,0.10696140135630021,270
sa,100.18867924528303,0.40862959213571026,0.111460992808642,270
sa,105.75471698113208,0.42742860413545136,0.11742352504522068,270
sa,111.32075471698114,0.44218894475517306,0.12086068637867381,270
sa,116.88679245283019,0.46238201550188596,0.123068160995289,270
sa,122.45283018867926,0.4757710759295799,0.12439663171103649,270
sa,128.0188679245283,0.4903805555203764,0.12831929181566862,270
sa,133.58490566037736,0.5063918383112875,0.12852521442939357,270
sa,139.1509433962264,0.5219923870346481,0.1339932562140998,270
sa,144.7169811320755,0.5330199848309722,0.1382222621932853,270
sa,150.28301886792454,0.5451324939543825,0.13751382003476598,270
sa,155.8490566037736,0.5637131489360707,0.13836834067045067,270
sa,161.41509433962264,0.5769364202249957,0.14035995789689418,270
sa,166.98113207547172,0.5969279905808814,0.13483348660807495,270
sa,172.54716981132077,0.6063139341414272,0.1363425694056675,270
sa,178.11320754716982,0.6170475174982827,0.13846056541570614,270
sa,183.67924528301887,0.6307097868312388,0.13699274567974876,270
sa,189.24528301886792,0.640443629036631,0.13507815477302543,270
sa,194.811320754717,0.6493241511213582,0.1384614169123068,270
sa,200.37735849056605,0.6629500298964079,0.13863084705016573,270
sa,205.9433962264151,0.6744493886174228,0.1352316703097722,270
sa,211.50943396226415,0.6852560728548782,0.13245739239557563,270
sa,217.07547169811323,0.6945952838563595,0.13029567539906942,270
sa,222.64150943396228,0.7044338452268383,0.13017415745703997,270
sa,228.20754716981133,0.7116990745711281,0.1289000217364421,270
sa,233.77358490566039,0.7197551982449388,0.1275646533519118,270
sa,239.33962264150944,0.7286599850891461,0.12612983868838568,270
sa,244.90566037735852,0.7331508601287701,0.12718297311666332,270
sa,250.47169811320757,0.738479029702752,0.1279962499486124,270
