algorithm,tau,rho,n_cases
sa,2.2462311557788945,1.0,1
sa,2.2562814070351758,1.0,1
sa,2.266331658291457,1.0,1
sa,2.2763819095477387,1.0,1
sa,2.2864321608040203,1.0,1
sa,2.2964824120603016,1.0,1
sa,2.306532663316583,1.0,1
sa,2.316582914572864,1.0,1
sa,2.3266331658291457,1.0,1
sa,2.3366834170854274,1.0,1
sa,2.3467336683417086,1.0,1
sa,2.35678391959799,1.0,1
sa,2.366834170854271,1.0,1
sa,2.3768844221105527,1.0,1
sa,2.3869346733668344,1.0,1
sa,2.3969849246231156,1.0,1
sa,2.407035175879397,1.0,1
sa,2.417085427135678,1.0,1
sa,2.4271356783919598,1.0,1
sa,2.4371859296482414,1.0,1
sa,2.4472361809045227,1.0,1
sa,2.457286432160804,1.0,1
sa,2.467336683417085,1.0,1
sa,2.477386934673367,1.0,1
sa,2.4874371859296485,1.0,1
sa,2.4974874371859297,1.0,1
sa,2.507537688442211,1.0,1
sa,2.5175879396984926,1.0,1
sa,2.527638190954774,1.0,1
sa,2.5376884422110555,1.0,1
sa,2.5477386934673367,1.0,1
sa,2.557788944723618,1.0,1
sa,2.5678391959798996,1.0,1
sa,2.577889447236181,1.0,1
sa,2.5879396984924625,1.0,1
sa,2.5979899497487438,1.0,1
sa,2.608040201005025,1.0,1
sa,2.6180904522613067,1.0,1
sa,2.628140703517588,1.0,1
sa,2.6381909547738696,1.0,1
sa,2.648241206030151,1.0,1
sa,2.658291457286432,1.0,1
sa,2.6683417085427137,1.0,1
sa,2.678391959798995,1.0,1
sa,2.6884422110552766,1.0,1
sa,2.698492462311558,1.0,1
sa,2.708542713567839,1.0,1
sa,2.7185929648241207,1.0,1
sa,2.728643216080402,1.0,1
sa,2.7386934673366836,1.0,1
sa,2.748743718592965,1.0,1
sa,2.758793969849246,1.0,1
sa,2.7688442211055277,1.0,1
sa,2.778894472361809,1.0,1
sa,2.7889447236180906,1.0,1
sa,2.798994974874372,1.0,1
sa,2.809045226130653,1.0,1
sa,2.819095477386935,1.0,1
sa,2.829145728643216,1.0,1
sa,2.8391959798994977,1.0,1
sa,2.849246231155779,1.0,1
sa,2.85929648241206,1.0,1
sa,2.869346733668342,1.0,1
sa,2.879396984924623,1.0,1
sa,2.8894472361809047,1.0,1
sa,2.899497487437186,1.0,1
sa,2.909547738693467,1.0,1
sa,2.919597989949749,1.0,1
sa,2.92964824120603,1.0,1
sa,2.9396984924623117,1.0,1
sa,2.949748743718593,1.0,1
sa,2.959798994974874,1.0,1
sa,2.969849246231156,1.0,1
sa,2.9798994974874375,1.0,1
