algorithm,n_evaluations,mean_norm_z,std_norm_z,n_runs
sa,480.7295597484277,0.8868886490710931,0.0,1
sa,485.68553459119494,0.8868886490710931,0.0,1
sa,490.64150943396226,0.8949568298677805,0.0,1
sa,495.5974842767295,0.8949568298677805,0.0,1
sa,500.55345911949684,0.8949568298677805,0.0,1
sa,505.50943396226415,0.9238987701036651,0.0,1
sa,510.4654088050314,0.9238987701036651,0.0,1
sa,515.4213836477987,0.9238987701036651,0.0,1
sa,520.377358490566,0.9238987701036651,0.0,1
sa,525.3333333333333,0.9238987701036651,0.0,1
sa,530.2893081761006,0.9238987701036651,0.0,1
sa,535.2452830188679,0.9238987701036651,0.0,1
sa,540.2012578616352,0.9238987701036651,0.0,1
sa,545.1572327044025,0.9238987701036651,0.0,1
sa,550.1132075471697,0.9238987701036651,0.0,1
sa,555.069182389937,0.9238987701036651,0.0,1
sa,560.0251572327044,0.9238987701036651,0.0,1
sa,564.9811320754717,0.9238987701036651,0.0,1
sa,569.937106918239,0.9238987701036651,0.0,1
sa,574.8930817610062,0.9238987701036651,0.0,1
sa,579.8490566037735,0.9255287063592099,0.0,1
sa,584.8050314465409,0.9256617623800708,0.0,1
sa,589.7610062893082,0.9256617623800708,0.0,1
sa,594.7169811320755,0.9256617623800708,0.0,1
sa,599.6729559748427,0.9256617623800708,0.0,1
sa,604.62893081761,0.9271493712712194,0.0,1
sa,609.5849056603773,0.9274882474278904,0.0,1
sa,614.5408805031446,0.9274882474278904,0.0,1
sa,619.496855345912,0.9274882474278904,0.0,1
sa,624.4528301886792,0.9274882474278904,0.0,1
sa,629.4088050314465,0.9274882474278904,0.0,1
sa,634.3647798742138,0.9452542451163927,0.0,1
sa,639.3207547169811,0.9535232117824702,0.0,1
sa,644.2767295597484,0.9535232117824702,0.0,1
sa,649.2327044025157,0.9706948096315406,0.0,1
sa,654.188679245283,0.9706948096315406,0.0,1
sa,659.1446540880503,0.9706948096315406,0.0,1
sa,664.1006289308176,0.9706948096315406,0.0,1
sa,669.0566037735849,0.9706948096315406,0.0,1
sa,674.0125786163521,0.9706948096315406,0.0,1
sa,678.9685534591194,0.9706948096315406,0.0,1
sa,683.9245283018868,0.9706948096315406,0.0,1
sa,688.8805031446541,0.9706948096315406,0.0,1
sa,693.8364779874214,0.9706948096315406,0.0,1
sa,698.7924528301886,0.9706948096315406,0.0,1
sa,703.7484276729559,0.9706948096315406,0.0,1
sa,708.7044025157232,0.9706948096315406,0.0,1
sa,713.6603773584906,0.9706948096315406,0.0,1
sa,718.6163522012579,0.9765881739084671,0.0,1
sa,723.5723270440251,0.9765881739084671,0.0,1
sa,728.5283018867924,0.9765881739084671,0.0,1
sa,733.4842767295597,0.9785225471754492,0.0,1
sa,738.440251572327,0.9785225471754492,0.0,1
sa,743.3962264150944,0.9785225471754492,0.0,1
sa,748.3522012578616,0.9922946093828178,0.0,1
sa,753.3081761006289,0.9988923880216978,0.0,1
sa,758.2641509433962,0.9988923880216978,0.0,1
sa,763.2201257861635,0.9988923880216978,0.0,1
sa,768.1761006289308,1.0,0.0,1
sa,773.132075471698,1.0,0.0,1
sa,778.0880503144654,1.0,0.0,1
sa,783.0440251572327,1.0,0.0,1
sa,788.0,1.0,0.0,1
